"Year","Year ending","Offence Division","Offence Subdivision","Offence Group","Indigenous Status","Victim Reports"
2024,"March","B Property and deception offences","B40 Theft","B44 Theft of a bicycle","Total People",7552
2024,"March","B Property and deception offences","B40 Theft","Other theft offences","Aboriginal and/or Torres Strait Islander",447
2024,"March","B Property and deception offences","B40 Theft","Other theft offences","Non-Indigenous",24926
2024,"March","B Property and deception offences","B40 Theft","Other theft offences","Total People",27356
2024,"March","B Property and deception offences","B50 Deception","B50 Deception","Aboriginal and/or Torres Strait Islander",101
2024,"March","B Property and deception offences","B50 Deception","B50 Deception","Non-Indigenous",8148
2024,"March","B Property and deception offences","B50 Deception","B50 Deception","Total People",10376
2024,"March","C Other offences","C Other offences","C Other offences","Aboriginal and/or Torres Strait Islander",2
2024,"March","C Other offences","C Other offences","C Other offences","Non-Indigenous",100
2024,"March","C Other offences","C Other offences","C Other offences","Total People",106
2023,"March","A Crimes against the person","A10 Homicide and related offences","A10 Homicide and related offences","Aboriginal and/or Torres Strait Islander",5
2023,"March","A Crimes against the person","A10 Homicide and related offences","A10 Homicide and related offences","Non-Indigenous",163
2023,"March","A Crimes against the person","A10 Homicide and related offences","A10 Homicide and related offences","Total People",197
2023,"March","A Crimes against the person","A20 Assault and related offences","A21 Serious assault","Aboriginal and/or Torres Strait Islander",832
2023,"March","A Crimes against the person","A20 Assault and related offences","A21 Serious assault","Non-Indigenous",12586
2023,"March","A Crimes against the person","A20 Assault and related offences","A21 Serious assault","Total People",14274
2023,"March","A Crimes against the person","A20 Assault and related offences","A22 Assault police, emergency services or other authorised officer","Aboriginal and/or Torres Strait Islander",12
2023,"March","A Crimes against the person","A20 Assault and related offences","A22 Assault police, emergency services or other authorised officer","Non-Indigenous",2668
2023,"March","A Crimes against the person","A20 Assault and related offences","A22 Assault police, emergency services or other authorised officer","Total People",2905
2023,"March","A Crimes against the person","A20 Assault and related offences","A23 Common assault","Aboriginal and/or Torres Strait Islander",1212
2023,"March","A Crimes against the person","A20 Assault and related offences","A23 Common assault","Non-Indigenous",24774
2023,"March","A Crimes against the person","A20 Assault and related offences","A23 Common assault","Total People",28048
2023,"March","A Crimes against the person","A30 Sexual offences","A31 Rape","Aboriginal and/or Torres Strait Islander",186
2023,"March","A Crimes against the person","A30 Sexual offences","A31 Rape","Non-Indigenous",3041
2023,"March","A Crimes against the person","A30 Sexual offences","A31 Rape","Total People",3593
2023,"March","A Crimes against the person","A30 Sexual offences","A32 Indecent assault","Aboriginal and/or Torres Strait Islander",169
2023,"March","A Crimes against the person","A30 Sexual offences","A32 Indecent assault","Non-Indigenous",3401
2023,"March","A Crimes against the person","A30 Sexual offences","A32 Indecent assault","Total People",4307
2023,"March","A Crimes against the person","A30 Sexual offences","A33 Incest","Aboriginal and/or Torres Strait Islander",7
2023,"March","A Crimes against the person","A30 Sexual offences","A33 Incest","Non-Indigenous",173
2023,"March","A Crimes against the person","A30 Sexual offences","A33 Incest","Total People",211
2023,"March","A Crimes against the person","A30 Sexual offences","A34 Sexual offences against children","Aboriginal and/or Torres Strait Islander",25
2023,"March","A Crimes against the person","A30 Sexual offences","A34 Sexual offences against children","Non-Indigenous",322
2023,"March","A Crimes against the person","A30 Sexual offences","A34 Sexual offences against children","Total People",429
2023,"March","A Crimes against the person","A30 Sexual offences","A39 Other sexual offences","Aboriginal and/or Torres Strait Islander",25
2023,"March","A Crimes against the person","A30 Sexual offences","A39 Other sexual offences","Non-Indigenous",709
2023,"March","A Crimes against the person","A30 Sexual offences","A39 Other sexual offences","Total People",837
2023,"March","A Crimes against the person","A40 Abduction and related offences","A40 Abduction and related offences","Aboriginal and/or Torres Strait Islander",23
2023,"March","A Crimes against the person","A40 Abduction and related offences","A40 Abduction and related offences","Non-Indigenous",442
