"Year","Year ending","AFM Sex","AFM Age Group","AFM Indigenous Status","AFM Counter"
2024,"March","Males","18-19 years","Aboriginal and/or Torres Strait Islander",74
2024,"March","Males","18-19 years","Non-Indigenous",612
2024,"March","Males","18-19 years","Total People",708
2024,"March","Males","20-24 years","Aboriginal and/or Torres Strait Islander",163
2024,"March","Males","20-24 years","Non-Indigenous",1557
2024,"March","Males","20-24 years","Total People",1779
2024,"March","Males","25-29 years","Aboriginal and/or Torres Strait Islander",169
2024,"March","Males","25-29 years","Non-Indigenous",1858
2024,"March","Males","25-29 years","Total People",2094
2024,"March","Males","30-34 years","Aboriginal and/or Torres Strait Islander",124
2024,"March","Males","30-34 years","Non-Indigenous",2085
2024,"March","Males","30-34 years","Total People",2267
2024,"March","Males","35-39 years","Aboriginal and/or Torres Strait Islander",145
2024,"March","Males","35-39 years","Non-Indigenous",2308
2024,"March","Males","35-39 years","Total People",2490
2024,"March","Males","40-44 years","Aboriginal and/or Torres Strait Islander",123
2024,"March","Males","40-44 years","Non-Indigenous",2246
2024,"March","Males","40-44 years","Total People",2414
2024,"March","Males","45-49 years","Aboriginal and/or Torres Strait Islander",96
2024,"March","Males","45-49 years","Non-Indigenous",2084
2024,"March","Males","45-49 years","Total People",2218
2024,"March","Males","50-54 years","Aboriginal and/or Torres Strait Islander",106
2024,"March","Males","50-54 years","Non-Indigenous",1757
2024,"March","Males","50-54 years","Total People",1911
2024,"March","Males","55-59 years","Aboriginal and/or Torres Strait Islander",62
2024,"March","Males","55-59 years","Non-Indigenous",1437
2024,"March","Males","55-59 years","Total People",1536
2024,"March","Males","60-64 years","Aboriginal and/or Torres Strait Islander",34
2024,"March","Males","60-64 years","Non-Indigenous",1085
2024,"March","Males","60-64 years","Total People",1162
2024,"March","Males","65 years and over","Aboriginal and/or Torres Strait Islander",34
2024,"March","Males","65 years and over","Non-Indigenous",2019
2024,"March","Males","65 years and over","Total People",2146
2024,"March","Males","Total","Aboriginal and/or Torres Strait Islander",1392
2024,"March","Males","Total","Non-Indigenous",21870
2024,"March","Males","Total","Total People",24303
2024,"March","People","00-14 years","Aboriginal and/or Torres Strait Islander",432
2024,"March","People","00-14 years","Non-Indigenous",3830
2024,"March","People","00-14 years","Total People",5113
2024,"March","People","15-17 years","Aboriginal and/or Torres Strait Islander",411
2024,"March","People","15-17 years","Non-Indigenous",3069
2024,"March","People","15-17 years","Total People",3735
2024,"March","People","18-19 years","Aboriginal and/or Torres Strait Islander",315
2024,"March","People","18-19 years","Non-Indigenous",2332
2024,"March","People","18-19 years","Total People",2748
2024,"March","People","20-24 years","Aboriginal and/or Torres Strait Islander",736
2024,"March","People","20-24 years","Non-Indigenous",6974
2024,"March","People","20-24 years","Total People",7967
2024,"March","People","25-29 years","Aboriginal and/or Torres Strait Islander",848
2024,"March","People","25-29 years","Non-Indigenous",9091
2024,"March","People","25-29 years","Total People",10215
2024,"March","People","30-34 years","Aboriginal and/or Torres Strait Islander",813
2024,"March","People","30-34 years","Non-Indigenous",10788
2024,"March","People","30-34 years","Total People",11872
2024,"March","People","35-39 years","Aboriginal and/or Torres Strait Islander",698
2024,"March","People","35-39 years","Non-Indigenous",11572
2024,"March","People","35-39 years","Total People",12547
2024,"March","People","40-44 years","Aboriginal and/or Torres Strait Islander",613
2024,"March","People","40-44 years","Non-Indigenous",10044
2024,"March","People","40-44 years","Total People",10880
2024,"March","People","45-49 years","Aboriginal and/or Torres Strait Islander",456
2024,"March","People","45-49 years","Non-Indigenous",8017
2024,"March","People","45-49 years","Total People",8676
2024,"March","People","50-54 years","Aboriginal and/or Torres Strait Islander",416
2024,"March","People","50-54 years","Non-Indigenous",6473
2024,"March","People","50-54 years","Total People",7093
2024,"March","People","55-59 years","Aboriginal and/or Torres Strait Islander",244
2024,"March","People","55-59 years","Non-Indigenous",4306
2024,"March","People","55-59 years","Total People",4683
2024,"March","People","60-64 years","Aboriginal and/or Torres Strait Islander",134
2024,"March","People","60-64 years","Non-Indigenous",3007
2024,"March","People","60-64 years","Total People",3253
2024,"March","People","65 years and over","Aboriginal and/or Torres Strait Islander",172
2024,"March","People","65 years and over","Non-Indigenous",5704
2024,"March","People","65 years and over","Total People",6132
2024,"March","People","Total","Aboriginal and/or Torres Strait Islander",6327
2024,"March","People","Total","Non-Indigenous",86181
2024,"March","People","Total","Total People",95978
2023,"March","Females","00-14 years","Aboriginal and/or Torres Strait Islander",204
2023,"March","Females","00-14 years","Non-Indigenous",2171
2023,"March","Females","00-14 years","Total People",2718
2023,"March","Females","15-17 years","Aboriginal and/or Torres Strait Islander",260
2023,"March","Females","15-17 years","Non-Indigenous",2049
2023,"March","Females","15-17 years","Total People",2477
2023,"March","Females","18-19 years","Aboriginal and/or Torres Strait Islander",185
2023,"March","Females","18-19 years","Non-Indigenous",1699
2023,"March","Females","18-19 years","Total People",1960
2023,"March","Females","20-24 years","Aboriginal and/or Torres Strait Islander",563
2023,"March","Females","20-24 years","Non-Indigenous",5428
2023,"March","Females","20-24 years","Total People",6215
2023,"March","Females","25-29 years","Aboriginal and/or Torres Strait Islander",624
2023,"March","Females","25-29 years","Non-Indigenous",7400
2023,"March","Females","25-29 years","Total People",8274
2023,"March","Females","30-34 years","Aboriginal and/or Torres Strait Islander",626
2023,"March","Females","30-34 years","Non-Indigenous",8604
2023,"March","Females","30-34 years","Total People",9431
2023,"March","Females","35-39 years","Aboriginal and/or Torres Strait Islander",587
2023,"March","Females","35-39 years","Non-Indigenous",8493
2023,"March","Females","35-39 years","Total People",9301
2023,"March","Females","40-44 years","Aboriginal and/or Torres Strait Islander",488
2023,"March","Females","40-44 years","Non-Indigenous",7537
2023,"March","Females","40-44 years","Total People",8218
2023,"March","Females","45-49 years","Aboriginal and/or Torres Strait Islander",330
2023,"March","Females","45-49 years","Non-Indigenous",5920
2023,"March","Females","45-49 years","Total People",6423
2023,"March","Females","50-54 years","Aboriginal and/or Torres Strait Islander",250
2023,"March","Females","50-54 years","Non-Indigenous",4685
2023,"March","Females","50-54 years","Total People",5072
2023,"March","Females","55-59 years","Aboriginal and/or Torres Strait Islander",159
2023,"March","Females","55-59 years","Non-Indigenous",2719
2023,"March","Females","55-59 years","Total People",2968
2023,"March","Females","60-64 years","Aboriginal and/or Torres Strait Islander",81
2023,"March","Females","60-64 years","Non-Indigenous",1755
2023,"March","Females","60-64 years","Total People",1910
2023,"March","Females","65 years and over","Aboriginal and/or Torres Strait Islander",117
2023,"March","Females","65 years and over","Non-Indigenous",3433
2023,"March","Females","65 years and over","Total People",3764
2023,"March","Females","Total","Aboriginal and/or Torres Strait Islander",4504
2023,"March","Females","Total","Non-Indigenous",62624
2023,"March","Females","Total","Total People",69529
2023,"March","Males","00-14 years","Aboriginal and/or Torres Strait Islander",144
2023,"March","Males","00-14 years","Non-Indigenous",1642
2023,"March","Males","00-14 years","Total People",2085
2023,"March","Males","15-17 years","Aboriginal and/or Torres Strait Islander",102
2023,"March","Males","15-17 years","Non-Indigenous",769
2023,"March","Males","15-17 years","Total People",930
2023,"March","Males","18-19 years","Aboriginal and/or Torres Strait Islander",72
2023,"March","Males","18-19 years","Non-Indigenous",627
2023,"March","Males","18-19 years","Total People",721
2023,"March","Males","20-24 years","Aboriginal and/or Torres Strait Islander",188
2023,"March","Males","20-24 years","Non-Indigenous",1578
2023,"March","Males","20-24 years","Total People",1828
2023,"March","Males","25-29 years","Aboriginal and/or Torres Strait Islander",163
2023,"March","Males","25-29 years","Non-Indigenous",1949
2023,"March","Males","25-29 years","Total People",2170
2023,"March","Males","30-34 years","Aboriginal and/or Torres Strait Islander",121
2023,"March","Males","30-34 years","Non-Indigenous",2036
2023,"March","Males","30-34 years","Total People",2190
2023,"March","Males","35-39 years","Aboriginal and/or Torres Strait Islander",118
2023,"March","Males","35-39 years","Non-Indigenous",2288
2023,"March","Males","35-39 years","Total People",2459
2023,"March","Males","40-44 years","Aboriginal and/or Torres Strait Islander",88
2023,"March","Males","40-44 years","Non-Indigenous",2200
2023,"March","Males","40-44 years","Total People",2335
2023,"March","Males","45-49 years","Aboriginal and/or Torres Strait Islander",78
2023,"March","Males","45-49 years","Non-Indigenous",1947
2023,"March","Males","45-49 years","Total People",2057
2023,"March","Males","50-54 years","Aboriginal and/or Torres Strait Islander",80
2023,"March","Males","50-54 years","Non-Indigenous",1841
2023,"March","Males","50-54 years","Total People",1975
