"Year","Year ending","Offence Division","Offence Subdivision","Offence Group","Victim Reports","Rate per 100,000 population"
2018,"March","B Property and deception offences","B40 Theft","B41 Motor vehicle theft",13666,212.765361189
2018,"March","B Property and deception offences","B40 Theft","B42 Steal from a motor vehicle",48600,756.651291803
2018,"March","B Property and deception offences","B40 Theft","B43 Steal from a retail store",201,3.129360281
2018,"March","B Property and deception offences","B40 Theft","B44 Theft of a bicycle",6073,94.550273562
2018,"March","B Property and deception offences","B40 Theft","Other theft offences",24365,379.337628082
2018,"March","B Property and deception offences","B50 Deception","B50 Deception",6002,93.444877642
2018,"March","C Other offences","C Other offences","C Other offences",62,0.965275311
2017,"March","A Crimes against the person","A10 Homicide and related offences","A10 Homicide and related offences",233,3.696882306
2017,"March","A Crimes against the person","A20 Assault and related offences","A21 Serious assault",16545,262.510376657
2017,"March","A Crimes against the person","A20 Assault and related offences","A22 Assault police, emergency services or other authorised officer",3030,48.075336432
2017,"March","A Crimes against the person","A20 Assault and related offences","A23 Common assault",22489,356.820541592
2017,"March","A Crimes against the person","A30 Sexual offences","A31 Rape",3295,52.279945064
2017,"March","A Crimes against the person","A30 Sexual offences","A32 Indecent assault",4177,66.274151907
2017,"March","A Crimes against the person","A30 Sexual offences","A33 Incest",241,3.823813888
2017,"March","A Crimes against the person","A30 Sexual offences","A34 Sexual offences against children",164,2.602097417
2017,"March","A Crimes against the person","A30 Sexual offences","A39 Other sexual offences",90,1.42798029
2017,"March","A Crimes against the person","A40 Abduction and related offences","A40 Abduction and related offences",550,8.726546217
2017,"March","A Crimes against the person","A50 Robbery","A51 Aggravated robbery",2490,39.507454692
2017,"March","A Crimes against the person","A50 Robbery","A52 Non-aggravated robbery",364,5.775386951
2017,"March","A Crimes against the person","A60 Blackmail and extortion","A61 Blackmail",110,1.745309243
2017,"March","A Crimes against the person","A60 Blackmail and extortion","A62 Extortion",37,0.587058564
2017,"March","A Crimes against the person","A70 Stalking, harassment and threatening behaviour","A71 Stalking & A72 Harassment and private nuisance",2123,33.684468398
2017,"March","A Crimes against the person","A70 Stalking, harassment and threatening behaviour","A73 Threatening behaviour",5061,80.300091645
2017,"March","A Crimes against the person","A80 Dangerous and negligent acts endangering people","A80 Dangerous and negligent acts endangering people",3619,57.420674108
2017,"March","B Property and deception offences","B10 Arson","B10 Arson",1939,30.765042027
2017,"March","B Property and deception offences","B20 Property damage","B21 Criminal damage",24618,390.600208676
2017,"March","B Property and deception offences","B20 Property damage","B22 Graffiti",1009,16.009245696
2017,"March","B Property and deception offences","B20 Property damage","B29 Other property damage offences",348,5.521523788
2017,"March","B Property and deception offences","B30 Burglary/Break and enter","B31 Aggravated burglary",4030,63.9417841
2017,"March","B Property and deception offences","B30 Burglary/Break and enter","B32 Non-aggravated burglary",31116,493.700385618
2017,"March","B Property and deception offences","B40 Theft","B41 Motor vehicle theft",18154,288.039490954
2017,"March","B Property and deception offences","B40 Theft","B42 Steal from a motor vehicle",60145,954.287494954
2017,"March","B Property and deception offences","B40 Theft","B43 Steal from a retail store",230,3.649282963
2017,"March","B Property and deception offences","B40 Theft","B44 Theft of a bicycle",6309,100.101418333
2017,"March","B Property and deception offences","B40 Theft","Other theft offences",27008,428.521018601
2017,"March","B Property and deception offences","B50 Deception","B50 Deception",3906,61.974344589
2017,"March","C Other offences","C Other offences","C Other offences",42,0.666390802
