"Year","Year ending","Police Region","Local Government Area","Incidents Recorded","Rate per 100,000 population"
2023,"March","4 Western","Ararat",875,7517.827992096
2023,"March","4 Western","Ballarat",8224,6982.035521445
2023,"March","4 Western","Buloke",262,4357.226010311
2023,"March","4 Western","Campaspe",2791,7312.408300147
2023,"March","4 Western","Central Goldfields",774,5710.912713052
2023,"March","4 Western","Colac-Otway",1100,4953.616139782
2023,"March","4 Western","Corangamite",480,3023.43159486
2023,"March","4 Western","Gannawarra",524,5053.52493008
2023,"March","4 Western","Glenelg",1064,5334.937825913
2023,"March","4 Western","Golden Plains",508,1975.039850706
2023,"March","4 Western","Greater Bendigo",7853,6343.808062041
2023,"March","4 Western","Greater Geelong",15200,5386.02185591
2023,"March","4 Western","Hepburn",512,3072.122884915
2023,"March","4 Western","Hindmarsh",200,3608.805485384
2023,"March","4 Western","Horsham",1621,8012.456131679
2023,"March","4 Western","Loddon",341,4414.239482201
2023,"March","4 Western","Macedon Ranges",1525,2887.87471358
2023,"March","4 Western","Mildura",5509,9636.678503332
2023,"March","4 Western","Moorabool",1558,3991.903456404
2023,"March","4 Western","Mount Alexander",723,3525.625396206
2023,"March","4 Western","Moyne",437,2488.32706981
2023,"March","4 Western","Northern Grampians",714,6046.235921755
2023,"March","4 Western","Pyrenees",280,3608.712462946
2023,"March","4 Western","Queenscliffe",53,1645.451723067
2023,"March","4 Western","Southern Grampians",742,4523.28700317
2023,"March","4 Western","Surf Coast",802,2044.979346219
2023,"March","4 Western","Swan Hill",1529,7249.194007207
2023,"March","4 Western","Warrnambool",2102,5883.670156189
2023,"March","4 Western","West Wimmera",107,2724.032586558
2023,"March","4 Western","Yarriambiack",304,4779.874213836
2023,"March","4 Western","Total",58714,5487.125618673
2023,"March","Justice Institutions and Immigration Facilities","Justice Institutions and Immigration Facilities",1073,
2023,"March","Justice Institutions and Immigration Facilities","Total",1073,
2023,"March","Unincorporated Vic","Unincorporated Vic",93,
2023,"March","Unincorporated Vic","Total",93,
2022,"March","1 North West Metro","Banyule",5226,4109.815270645
2022,"March","1 North West Metro","Brimbank",12273,6358.573167889
2022,"March","1 North West Metro","Darebin",9234,6148.949204912
2022,"March","1 North West Metro","Hobsons Bay",4586,5003.054634317
2022,"March","1 North West Metro","Hume",12140,4805.25649145
2022,"March","1 North West Metro","Maribyrnong",7011,8033.320347412
2022,"March","1 North West Metro","Melbourne",24954,15669.111367861
2022,"March","1 North West Metro","Melton",8724,4524.778921708
2022,"March","1 North West Metro","Merri-bek",9139,5246.057850718
2022,"March","1 North West Metro","Moonee Valley",6001,4886.80781759
2022,"March","1 North West Metro","Nillumbik",1315,2087.367852948
2022,"March","1 North West Metro","Whittlesea",8918,3767.224554971
2022,"March","1 North West Metro","Wyndham",12091,3921.295185216
2022,"March","1 North West Metro","Yarra",8782,9563.219392144
2022,"March","1 North West Metro","Total",130394,5793.000010218
2022,"March","2 Eastern","Alpine",368,2802.314955833
2022,"March","2 Eastern","Bass Coast",2139,5119.6744854
2022,"March","2 Eastern","Baw Baw",3041,5132.316208736
2022,"March","2 Eastern","Benalla",965,6693.951165372
2022,"March","2 Eastern","Boroondara",5441,3214.67608047
2022,"March","2 Eastern","East Gippsland",3620,7416.513009629
2022,"March","2 Eastern","Greater Shepparton",5762,8380.481419533
2022,"March","2 Eastern","Indigo",461,2665.356151711
2022,"March","2 Eastern","Knox",6597,4139.112321341
2022,"March","2 Eastern","Latrobe",7785,10040.497317375
2022,"March","2 Eastern","Manningham",2849,2254.330228915
2022,"March","2 Eastern","Mansfield",337,3266.770065917
2022,"March","2 Eastern","Maroondah",5084,4396.25056207
2022,"March","2 Eastern","Mitchell",2349,4558.067332881
2022,"March","2 Eastern","Moira",1566,5139.987527489
2022,"March","2 Eastern","Monash",8272,4247.300509861
2022,"March","2 Eastern","Murrindindi",530,3458.852705084
2022,"March","2 Eastern","South Gippsland",1192,3886.660797548
2022,"March","2 Eastern","Strathbogie",435,3789.528704591
2022,"March","2 Eastern","Towong",148,2410.816093826
2022,"March","2 Eastern","Wangaratta",1652,5536.564112876
2022,"March","2 Eastern","Wellington",2951,6460.016199295
2022,"March","2 Eastern","Whitehorse",5447,3161.768547165
2022,"March","2 Eastern","Wodonga",2671,6160.481583135
2022,"March","2 Eastern","Yarra Ranges",4960,3153.11019993
2022,"March","2 Eastern","Total",76622,4478.770527162
2022,"March","3 Southern Metro","Bayside",3314,3245.487753523
2022,"March","3 Southern Metro","Cardinia",4483,3643.145636433
2022,"March","3 Southern Metro","Casey",14201,3751.915455746
2022,"March","3 Southern Metro","Frankston",8305,5888.901494739
2022,"March","3 Southern Metro","Glen Eira",5021,3313.294751915
2022,"March","3 Southern Metro","Greater Dandenong",11340,7131.223312937
2022,"March","3 Southern Metro","Kingston",6818,4263.968279778
2022,"March","3 Southern Metro","Mornington Peninsula",6387,3767.408115234
2022,"March","3 Southern Metro","Port Phillip",9149,8812.622210235
2022,"March","3 Southern Metro","Stonnington",7802,7353.578766801
2022,"March","3 Southern Metro","Total",76820,4817.515135476
2022,"March","4 Western","Ararat",949,8097.269624573
2022,"March","4 Western","Ballarat",7559,6529.833018029
2022,"March","4 Western","Buloke",221,3622.356990657
2022,"March","4 Western","Campaspe",2412,6276.019983347
2022,"March","4 Western","Central Goldfields",820,6075.874333136
2022,"March","4 Western","Colac-Otway",1208,5453.478398266
2022,"March","4 Western","Corangamite",580,3636.363636364
2022,"March","4 Western","Gannawarra",558,5317.830934909
2022,"March","4 Western","Glenelg",1201,6012.515644556
2022,"March","4 Western","Golden Plains",422,1671.75058432
2022,"March","4 Western","Greater Bendigo",7475,6105.729175175
2022,"March","4 Western","Greater Geelong",14535,5262.738651711
2022,"March","4 Western","Hepburn",436,2632.373362314
2022,"March","4 Western","Hindmarsh",301,5381.727158949
2022,"March","4 Western","Horsham",1601,7883.592672838
2022,"March","4 Western","Loddon",386,4993.531694696
2022,"March","4 Western","Macedon Ranges",1369,2625.321213516
2022,"March","4 Western","Mildura",4867,8546.543277082
2022,"March","4 Western","Moorabool",1569,4074.372224675
2022,"March","4 Western","Mount Alexander",715,3527.554393409
2022,"March","4 Western","Moyne",543,3112.996617554
2022,"March","4 Western","Northern Grampians",803,6791.271989175
2022,"March","4 Western","Pyrenees",304,3981.663392272
2022,"March","4 Western","Queenscliffe",118,3678.304239401
2022,"March","4 Western","Southern Grampians",798,4879.540173658
2022,"March","4 Western","Surf Coast",1036,2683.381682553
2022,"March","4 Western","Swan Hill",1688,7981.087470449
2022,"March","4 Western","Warrnambool",2197,6195.713479977
2022,"March","4 Western","West Wimmera",148,3765.903307888
