"Year","Year ending","Police Region","Local Government Area","Family Incidents","Rate per 100,000 population"
2024,"March","Unincorporated Vic","Total",10,
2023,"March","1 North West Metro","Banyule",1207,933.690203602
2023,"March","1 North West Metro","Brimbank",2842,1452.972663459
2023,"March","1 North West Metro","Darebin",1703,1097.25139492
2023,"March","1 North West Metro","Hobsons Bay",1022,1092.977990717
2023,"March","1 North West Metro","Hume",3732,1423.981807221
2023,"March","1 North West Metro","Maribyrnong",1211,1325.003282419
2023,"March","1 North West Metro","Melbourne",2124,1202.697575919
2023,"March","1 North West Metro","Melton",2846,1385.272113976
2023,"March","1 North West Metro","Merri-bek",2049,1135.324722818
2023,"March","1 North West Metro","Moonee Valley",1242,984.659293614
2023,"March","1 North West Metro","Nillumbik",446,706.165489724
2023,"March","1 North West Metro","Whittlesea",2708,1107.53928329
2023,"March","1 North West Metro","Wyndham",4465,1383.162283813
2023,"March","1 North West Metro","Yarra",1083,1117.843171661
2023,"March","1 North West Metro","Total",28680,1224.029386948
2023,"March","2 Eastern","Alpine",152,1158.801555234
2023,"March","2 Eastern","Bass Coast",841,1970.801209196
2023,"March","2 Eastern","Baw Baw",943,1556.593651475
2023,"March","2 Eastern","Benalla",421,2910.071196516
2023,"March","2 Eastern","Boroondara",1093,627.439724455
2023,"March","2 Eastern","East Gippsland",1564,3191.706460961
2023,"March","2 Eastern","Greater Shepparton",1769,2570.28695968
2023,"March","2 Eastern","Indigo",209,1193.944587261
2023,"March","2 Eastern","Knox",1929,1194.042784986
2023,"March","2 Eastern","Latrobe",2624,3367.815796904
2023,"March","2 Eastern","Manningham",1032,798.180890065
2023,"March","2 Eastern","Mansfield",97,920.129007778
2023,"March","2 Eastern","Maroondah",1353,1153.915038421
2023,"March","2 Eastern","Mitchell",1051,1964.779780154
2023,"March","2 Eastern","Moira",585,1910.141709658
2023,"March","2 Eastern","Monash",1796,883.401785495
2023,"March","2 Eastern","Murrindindi",193,1249.919046694
2023,"March","2 Eastern","South Gippsland",527,1712.874183378
2023,"March","2 Eastern","Strathbogie",149,1289.931607653
2023,"March","2 Eastern","Towong",67,1085.723545617
2023,"March","2 Eastern","Wangaratta",619,2069.74955696
2023,"March","2 Eastern","Wellington",1333,2901.800291704
2023,"March","2 Eastern","Whitehorse",1511,847.29605455
2023,"March","2 Eastern","Wodonga",1023,2335.456475584
2023,"March","2 Eastern","Yarra Ranges",1994,1258.576180467
2023,"March","2 Eastern","Total",24875,1425.754718603
2023,"March","3 Southern Metro","Bayside",826,793.208750264
2023,"March","3 Southern Metro","Cardinia",1554,1225.948453364
2023,"March","3 Southern Metro","Casey",5420,1385.207921754
2023,"March","3 Southern Metro","Frankston",2528,1772.455425691
2023,"March","3 Southern Metro","Glen Eira",1206,770.287101204
2023,"March","3 Southern Metro","Greater Dandenong",2607,1594.661218598
2023,"March","3 Southern Metro","Kingston",1888,1155.100367699
2023,"March","3 Southern Metro","Mornington Peninsula",1995,1174.282333967
2023,"March","3 Southern Metro","Port Phillip",1452,1328.453796889
2023,"March","3 Southern Metro","Stonnington",1008,908.541916411
2023,"March","3 Southern Metro","Total",20484,1250.219722271
2023,"March","4 Western","Ararat",271,2328.378726695
2023,"March","4 Western","Ballarat",2173,1844.839881822
2023,"March","4 Western","Buloke",64,1064.360552137
2023,"March","4 Western","Campaspe",796,2085.516663173
2023,"March","4 Western","Central Goldfields",372,2744.77975356
2023,"March","4 Western","Colac-Otway",413,1859.857696118
2023,"March","4 Western","Corangamite",192,1209.372637944
2023,"March","4 Western","Gannawarra",163,1571.993441991
2023,"March","4 Western","Glenelg",413,2070.798235058
2023,"March","4 Western","Golden Plains",229,890.323082306
2023,"March","4 Western","Greater Bendigo",2401,1939.575086841
2023,"March","4 Western","Greater Geelong",4751,1683.486173515
2023,"March","4 Western","Hepburn",176,1056.04224169
2023,"March","4 Western","Hindmarsh",86,1551.786358715
2023,"March","4 Western","Horsham",566,2797.686718402
2023,"March","4 Western","Loddon",107,1385.113268608
2023,"March","4 Western","Macedon Ranges",463,876.777699926
2023,"March","4 Western","Mildura",1897,3318.347997971
2023,"March","4 Western","Moorabool",531,1360.526787773
2023,"March","4 Western","Mount Alexander",223,1087.433559272
2023,"March","4 Western","Moyne",169,962.304976654
2023,"March","4 Western","Northern Grampians",290,2455.754085867
2023,"March","4 Western","Pyrenees",107,1379.043691197
2023,"March","4 Western","Queenscliffe",12,372.55510711
2023,"March","4 Western","Southern Grampians",290,1767.861497196
2023,"March","4 Western","Surf Coast",267,680.80983222
2023,"March","4 Western","Swan Hill",566,2683.481888868
2023,"March","4 Western","Warrnambool",715,2001.343559313
2023,"March","4 Western","West Wimmera",49,1247.454175153
2023,"March","4 Western","Yarriambiack",110,1729.559748428
2023,"March","4 Western","Total",18862,1762.75102053
2023,"March","Justice Institutions and Immigration Facilities","Justice Institutions and Immigration Facilities",161,
2023,"March","Justice Institutions and Immigration Facilities","Total",161,
2023,"March","Unincorporated Vic","Unincorporated Vic",15,
2023,"March","Unincorporated Vic","Total",15,
2022,"March","1 North West Metro","Banyule",1184,931.11773449
2022,"March","1 North West Metro","Brimbank",2774,1437.194000466
2022,"March","1 North West Metro","Darebin",1608,1070.772181232
2022,"March","1 North West Metro","Hobsons Bay",1032,1125.850933845
2022,"March","1 North West Metro","Hume",3849,1523.511716276
2022,"March","1 North West Metro","Maribyrnong",993,1137.795907143
2022,"March","1 North West Metro","Melbourne",2133,1339.35299141
2022,"March","1 North West Metro","Melton",2911,1509.815616815
2022,"March","1 North West Metro","Merri-bek",1947,1117.635915893
2022,"March","1 North West Metro","Moonee Valley",1237,1007.328990228
2022,"March","1 North West Metro","Nillumbik",470,746.055430331
2022,"March","1 North West Metro","Whittlesea",3048,1287.564526077
2022,"March","1 North West Metro","Wyndham",4053,1314.449539797
2022,"March","1 North West Metro","Yarra",1122,1221.809628557
2022,"March","1 North West Metro","Total",28361,1259.991052424
2022,"March","2 Eastern","Alpine",142,1081.32805361
2022,"March","2 Eastern","Bass Coast",893,2137.386309239
2022,"March","2 Eastern","Baw Baw",990,1670.829676635
2022,"March","2 Eastern","Benalla",369,2559.655937847
2022,"March","2 Eastern","Boroondara",968,571.918111725
2022,"March","2 Eastern","East Gippsland",1638,3355.869698832
2022,"March","2 Eastern","Greater Shepparton",1678,2440.549778198
2022,"March","2 Eastern","Indigo",181,1046.484736355
2022,"March","2 Eastern","Knox",1958,1228.495062178
2022,"March","2 Eastern","Latrobe",2511,3238.495666529
2022,"March","2 Eastern","Manningham",922,729.551586893
2022,"March","2 Eastern","Mansfield",118,1143.854207057
2022,"March","2 Eastern","Maroondah",1413,1221.85327384
2022,"March","2 Eastern","Mitchell",1016,1971.475696129
2022,"March","2 Eastern","Moira",509,1670.660058424
2022,"March","2 Eastern","Monash",1929,990.454869865
2022,"March","2 Eastern","Murrindindi",229,1494.485414083
2022,"March","2 Eastern","South Gippsland",540,1760.735596205
2022,"March","2 Eastern","Strathbogie",185,1611.638644481
2022,"March","2 Eastern","Towong",41,667.861215182
2022,"March","2 Eastern","Wangaratta",626,2097.995844225
2022,"March","2 Eastern","Wellington",1195,2615.967251155
2022,"March","2 Eastern","Whitehorse",1354,785.943567627
2022,"March","2 Eastern","Wodonga",873,2013.515695274
2022,"March","2 Eastern","Yarra Ranges",1921,1221.194494771
2022,"March","2 Eastern","Total",24199,1414.499334223
2022,"March","3 Southern Metro","Bayside",733,717.846265339
2022,"March","3 Southern Metro","Cardinia",1613,1310.817290111
2022,"March","3 Southern Metro","Casey",4987,1317.569352708
2022,"March","3 Southern Metro","Frankston",2664,1888.986584224
2022,"March","3 Southern Metro","Glen Eira",1131,746.332675646
2022,"March","3 Southern Metro","Greater Dandenong",2604,1637.540168156
2022,"March","3 Southern Metro","Kingston",1768,1105.704886865
2022,"March","3 Southern Metro","Mornington Peninsula",2064,1217.462087027
2022,"March","3 Southern Metro","Port Phillip",1384,1333.115000433
2022,"March","3 Southern Metro","Stonnington",868,818.11155724
2022,"March","3 Southern Metro","Total",19816,1242.695651192
2022,"March","4 Western","Ararat",264,2252.559726962
2022,"March","4 Western","Ballarat",2158,1864.185692936
2022,"March","4 Western","Buloke",75,1229.306671038
2022,"March","4 Western","Campaspe",889,2313.176519567
2022,"March","4 Western","Central Goldfields",331,2452.57854179
2022,"March","4 Western","Colac-Otway",393,1774.186266986
2022,"March","4 Western","Corangamite",162,1015.673981191
2022,"March","4 Western","Gannawarra",162,1543.886400457
2022,"March","4 Western","Glenelg",393,1967.459324155
2022,"March","4 Western","Golden Plains",173,685.338509686
2022,"March","4 Western","Greater Bendigo",2408,1966.902455361
2022,"March","4 Western","Greater Geelong",4289,1552.933338644
2022,"March","4 Western","Hepburn",198,1195.435609491
2022,"March","4 Western","Hindmarsh",85,1519.756838906
2022,"March","4 Western","Horsham",534,2629.505613551
2022,"March","4 Western","Loddon",129,1668.822768435
2022,"March","4 Western","Macedon Ranges",441,845.702450811
2022,"March","4 Western","Mildura",1944,3413.700458321
2022,"March","4 Western","Moorabool",502,1303.591368252
2022,"March","4 Western","Mount Alexander",185,912.723864029
2022,"March","4 Western","Moyne",187,1072.063291865
2022,"March","4 Western","Northern Grampians",281,2376.52232747
2022,"March","4 Western","Pyrenees",85,1113.294040602
2022,"March","4 Western","Queenscliffe",14,436.408977556
2022,"March","4 Western","Southern Grampians",249,1522.563287269
2022,"March","4 Western","Surf Coast",311,805.532532118
2022,"March","4 Western","Swan Hill",633,2992.907801418
2022,"March","4 Western","Warrnambool",634,1787.930062042
2022,"March","4 Western","West Wimmera",40,1017.811704835
2022,"March","4 Western","Yarriambiack",105,1638.065522621
2022,"March","4 Western","Total",18254,1725.294937156
2022,"March","Justice Institutions and Immigration Facilities","Justice Institutions and Immigration Facilities",135,
2022,"March","Justice Institutions and Immigration Facilities","Total",135,
2022,"March","Unincorporated Vic","Unincorporated Vic",8,
2022,"March","Unincorporated Vic","Total",8,
