"Year","Year ending","Offence Division","Offence Subdivision","Offence Group","Alleged Offender Incidents","Rate per 100,000 population 10 years and older","Rate per 100,000 population 12 years and older"
2017,"March","A Crimes against the person","A80 Dangerous and negligent acts endangering people","A81 Dangerous driving",463,8.412366579,8.65060146
2017,"March","A Crimes against the person","A80 Dangerous and negligent acts endangering people","A82 Neglect or ill treatment of people",50,0.908462913,0.934190222
2017,"March","A Crimes against the person","A80 Dangerous and negligent acts endangering people","A83 Throw or discharge object endangering people",358,6.50459446,6.688801993
2017,"March","A Crimes against the person","A80 Dangerous and negligent acts endangering people","A89 Other dangerous or negligent acts endangering people",1976,35.90245434,36.91919759
2017,"March","B Property and deception offences","B10 Arson","B11 Cause damage by fire",801,14.553575874,14.965727363
2017,"March","B Property and deception offences","B10 Arson","B12 Cause a bushfire",18,0.327046649,0.33630848
2017,"March","B Property and deception offences","B10 Arson","B19 Other fire related offences",329,5.977685971,6.146971664
2017,"March","B Property and deception offences","B20 Property damage","B21 Criminal damage",9477,172.190060616,177.066414759
2017,"March","B Property and deception offences","B20 Property damage","B22 Graffiti",434,7.885458089,8.108771131
2017,"March","B Property and deception offences","B20 Property damage","B29 Other property damage offences",47,0.853955139,0.878138809
2017,"March","B Property and deception offences","B30 Burglary/Break and enter","B31 Aggravated burglary",2006,36.447532088,37.479711724
2017,"March","B Property and deception offences","B30 Burglary/Break and enter","B32 Non-aggravated burglary",9385,170.518488856,175.34750475
2017,"March","B Property and deception offences","B40 Theft","B41 Motor vehicle theft",7069,128.438486704,132.075813647
2017,"March","B Property and deception offences","B40 Theft","B42 Steal from a motor vehicle",5550,100.839383394,103.69511469
2017,"March","B Property and deception offences","B40 Theft","B43 Steal from a retail store",11522,209.346193777,215.274794856
2017,"March","B Property and deception offences","B40 Theft","B44 Theft of a bicycle",362,6.577271493,6.76353721
2017,"March","B Property and deception offences","B40 Theft","B45 Receiving or handling stolen goods",3541,64.337343531,66.159351552
2017,"March","B Property and deception offences","B40 Theft","B46 Fare evasion",25,0.454231457,0.467095111
2017,"March","B Property and deception offences","B40 Theft","B49 Other theft",5360,97.387224322,100.145191844
2017,"March","B Property and deception offences","B50 Deception & B60 Bribery","B51 Forgery and counterfeiting",1541,27.998826993,28.791742655
2017,"March","B Property and deception offences","B50 Deception & B60 Bribery","B53 Obtain benefit by deception",4580,83.215202872,85.571824374
2017,"March","B Property and deception offences","B50 Deception & B60 Bribery","B54 State false information",602,10.937893478,11.247650278
2017,"March","B Property and deception offences","B50 Deception & B60 Bribery","B56 Professional malpractice and misrepresentation",25,0.454231457,0.467095111
2017,"March","B Property and deception offences","B50 Deception & B60 Bribery","Other deception offences & B61 Bribery of officials",32,0.581416265,0.597881742
2017,"March","C Drug offences","C10 Drug dealing and trafficking & C90 Other drug offences","C11 Drug dealing & C99 Other drug offences",10,0.181692583,0.186838044
2017,"March","C Drug offences","C10 Drug dealing and trafficking & C90 Other drug offences","C12 Drug trafficking",3150,57.233163548,58.853984013
2017,"March","C Drug offences","C20 Cultivate or manufacture drugs","C21 Cultivate drugs",721,13.100035212,13.471023007
2017,"March","C Drug offences","C20 Cultivate or manufacture drugs","C22 Manufacture drugs & C23 Possess drug manufacturing equipment or precursor",290,5.269084898,5.41830329
2017,"March","C Drug offences","C30 Drug use and possession","C31 Drug use",177,3.215958714,3.307033387
2017,"March","C Drug offences","C30 Drug use and possession","C32 Drug possession",9039,164.231925494,168.882908411
2017,"March","D Public order and security offences","D10 Weapons and explosives offences","D11 Firearms offences",1355,24.619344955,25.316555028
2017,"March","D Public order and security offences","D10 Weapons and explosives offences","D12 Prohibited and controlled weapons offences",5911,107.398485629,110.439968096
2017,"March","D Public order and security offences","D10 Weapons and explosives offences","D13 Explosives offences",158,2.870742807,2.952041103
2017,"March","D Public order and security offences","D20 Disorderly and offensive conduct","D21 Riot and affray",248,4.505976051,4.633583503
2017,"March","D Public order and security offences","D20 Disorderly and offensive conduct","D22 Drunk and disorderly in public",8036,146.008159451,150.143052549
2017,"March","D Public order and security offences","D20 Disorderly and offensive conduct","D23 Offensive conduct",2311,41.98915586,43.178272081
2017,"March","D Public order and security offences","D20 Disorderly and offensive conduct","D24 Offensive language",552,10.029430565,10.313460056
2017,"March","D Public order and security offences","D20 Disorderly and offensive conduct","D25 Criminal intent",118,2.143972476,2.204688925
2017,"March","D Public order and security offences","D20 Disorderly and offensive conduct","D26 Disorderly conduct",209,3.797374978,3.90491513
2017,"March","D Public order and security offences","D30 Public nuisance offences","D31 Privacy offences",17,0.308877391,0.317624676
2017,"March","D Public order and security offences","D30 Public nuisance offences","D32 Hoaxes",66,1.199171046,1.233131094
2017,"March","D Public order and security offences","D30 Public nuisance offences","D33 Begging",57,1.035647721,1.064976854
2017,"March","D Public order and security offences","D30 Public nuisance offences","D34 Defamation and libel & D36 Other public nuisance offences",56,1.017478463,1.046293049
2017,"March","D Public order and security offences","D30 Public nuisance offences","D35 Improper movement on public or private space",716,13.009188921,13.377603985
2017,"March","D Public order and security offences","D40 Public security offences","D40 Public security offences",6,0.10901555,0.112102827
2017,"March","E Justice procedures offences","E10 Justice procedures","E11 Escape custody & E12 Fail to appear",61,1.108324754,1.139712071
2017,"March","E Justice procedures offences","E10 Justice procedures","E13 Resist or hinder officer",1220,22.166495088,22.794241427
2017,"March","E Justice procedures offences","E10 Justice procedures","E14 Pervert the course of justice or commit perjury",399,7.249534049,7.454837975
2017,"March","E Justice procedures offences","E10 Justice procedures","E15 Prison regulation offences",305,5.541623772,5.698560357
2017,"March","E Justice procedures offences","E10 Justice procedures","E19 Other justice procedures offences",695,12.627634497,12.985244092
2017,"March","E Justice procedures offences","E20 Breaches of orders","E21 Breach family violence order",11060,200.951996456,206.642877201
2017,"March","E Justice procedures offences","E20 Breaches of orders","E22 Breach intervention order",1247,22.657065062,23.298704147
2017,"March","E Justice procedures offences","E20 Breaches of orders","E23 Breach bail conditions",6847,124.404911369,127.928009059
2017,"March","E Justice procedures offences","E20 Breaches of orders","E29 Breach of other orders",555,10.083938339,10.369511469
2017,"March","F Other offences","F10 Regulatory driving offences & F20 Transport regulation offences","F10 Regulatory driving offences & F20 Transport regulation offences",259,4.705837892,4.839105352
2017,"March","F Other offences","F30 Other government regulatory offences","F30 Other government regulatory offences",110,1.99861841,2.055218489
2017,"March","F Other offences","F90 Miscellaneous offences","F90 Miscellaneous offences",75,1.36269437,1.401285334
