"soda_id","title","type","description","updated_at","page_views_total","domain_category"
"scjj-9qzz","Front Yards In Bloom Nominations (1999 - 2013)","dataset","Shows all addresses that received nominations for the Front Yards in Bloom (FYinB) program. FYinB began in 1999 by the City of Edmonton, Edmonton Horticultural Society, and letter carriers. This shows","2025-05-01T22:01:30.000Z",10631,"Environmental Services"
"kdh3-uyqv","2012 Census - Dwelling Units By Structure Type And Ownership (Neighbourhood)","dataset","All Census information is as of April 1, 2012.  Ages of residents are effective April 1, 2012.  No data on any individual residence will be released.  To protect the privacy of individuals, data is co","2019-07-17T16:46:21.000Z",10456,"Census"
"jyra-si4k","Spray Parks","dataset","List of all spray parks in Edmonton","2026-05-18T08:26:33.000Z",10401,"Outdoor Recreation"
"tq23-qn4m","Bike and Pedestrian Counts (Eco Counter)","dataset","Note:

Within this data, it is possible that a full day's worth of data may be incomplete. This could be for a number of reasons, be it technical, environmental or equipment failure.
Also, this data i","2026-05-24T15:21:23.000Z",10224,"Monitoring and Data Collection"
"j6kf-jbdd","E-Scooters Current Position Map","map","This map is generated from an extraction from the following publicly accessible feeds:
Lime:
https://data.lime.bike/api/partners/v1/gbfs/edmonton/free_bike_status.json

Bird:
https://mds.bird.co/","2026-05-24T16:10:12.000Z",10199,"Monitoring and Data Collection"
"kyhu-r33m","2009 Census - Population By Structure Type (Neighbourhood)","dataset","All Census information is as of April 1, 2009.
No data on any individual residence will be released.  To protect the privacy of individuals, data is compiled and presented at the city-, ward- and nei","2019-07-17T16:45:33.000Z",10136,"Census"
"5ups-7xwm","Historical/Archived Images","dataset","This dataset is a public repository of Historical/Archived photos of the City of Edmonton.  The dataset links back to photos found on https://cityarchives.edmonton.ca/.","2019-07-17T16:59:10.000Z",9903,"Images"
"9j6k-uzig","Deprecated - ETS - Bus Stops by Landmarks","dataset","List of  Edmonton Transit bus stop id numbers clustered around prominent City of Edmonton landmarks, as used in the ETS Trip Planner.

* Deprecated - will be removed as no longer maintained in the Cit","2026-05-18T08:01:48.000Z",9682,"Transit"
"7fus-qa4r","Rainfall Gauge Results","dataset","The collection of significant rainfall measurements in the greater Edmonton area during the summer period.  This data is used to assist in the mosquito control program. Mosquito Trap Data can be found","2026-05-18T08:03:34.000Z",9630,"Environmental Services"
"4vt2-8zrq","ETS Bus Schedule GTFS Data Feed - Stops","dataset","List of all transit bus stops in Edmonton.

See https://developers.google.com/transit/gtfs/reference#stopstxt for documentation.","2026-04-20T16:38:58.000Z",9628,"Transit"
