"package_name","title","num_resources","metadata_modified","search_keyword"
"wellbeing-youth-refugee-housing","Wellbeing Youth - Refugee Housing",13,"2026-02-23T15:58:02.876334","wellbeing"
"wellbeing-toronto-civics-equity-indicators","Wellbeing Toronto - Civics & Equity Indicators",1,"2025-07-24T19:55:43.971230","wellbeing"
"wellbeing-toronto-aboriginal-service-organizations","Wellbeing Toronto - Aboriginal Service Organizations",2,"2024-04-03T12:43:34.676214","wellbeing"
"wellbeing-youth-aboriginal-youth-services","Wellbeing Youth- Aboriginal Youth Services",13,"2026-02-23T15:59:34.152422","wellbeing"
"wellbeing-youth-adult-education-upgrading","Wellbeing Youth - Adult Education Upgrading",13,"2026-02-23T16:03:19.669435","wellbeing"
"wellbeing-youth-affordable-housing-access","Wellbeing Youth - Affordable Housing Access",13,"2026-02-23T16:03:06.225960","wellbeing"
"wellbeing-youth-alternative-adult-education","Wellbeing Youth - Alternative Adult Education",13,"2026-02-23T16:02:57.171122","wellbeing"
"wellbeing-youth-concurrent-disorder-programs","Wellbeing Youth - Concurrent Disorder Programs",13,"2026-02-23T16:02:46.446219","wellbeing"
"wellbeing-youth-disability-supports-services","Wellbeing Youth - Disability Supports Services",13,"2026-02-23T16:02:37.521329","wellbeing"
"wellbeing-youth-sexual-health-services","Wellbeing Youth - Sexual Health Services",15,"2026-02-23T16:02:27.815563","wellbeing"
"wellbeing-youth-legal-justice-support","Wellbeing Youth - Legal Justice Support",13,"2026-02-23T16:02:02.716214","wellbeing"
"wellbeing-youth-legal-support-advocacy","Wellbeing Youth - Legal Support Advocacy",13,"2026-02-23T16:01:53.569543","wellbeing"
"wellbeing-youth-life-skills-training","Wellbeing Youth - Life Skills Training",13,"2026-02-23T16:00:08.593537","wellbeing"
"wellbeing-youth-newcomer-settlement-services","Wellbeing Youth - Newcomer Settlement Services",13,"2026-02-23T15:59:53.836321","wellbeing"
"wellbeing-youth-substance-use-treatment","Wellbeing Youth - Substance Use Treatment",13,"2026-02-23T15:59:44.377783","wellbeing"
"wellbeing-toronto-demographics-nhs-indicators","Wellbeing Toronto - Demographics: NHS Indicators",2,"2024-04-03T12:43:37.697524","wellbeing"
"wellbeing-toronto-demographics-taxfiler-indicators","Wellbeing Toronto - Demographics: TaxFiler Indicators",1,"2024-04-03T12:43:38.471626","wellbeing"
"neighbourhood-improvement-areas","Neighbourhood Improvement Areas",12,"2026-02-20T19:03:54.596536","wellbeing"
"toronto-population-health-status-indicators","Population Health Status Indicators",7,"2025-07-09T18:41:32.484807","wellbeing"
"neighbourhood-profiles","Neighbourhood Profiles",17,"2026-02-20T20:45:59.186007","wellbeing"
