"package_name","title","num_resources","metadata_modified","license"
"z39-50-library-catalogue","Z39.50 - Library Catalogue",1,"2026-05-19T21:02:10.622677","notspecified"
"water-valves","Water Valves",8,"2026-05-19T15:28:00.055032","notspecified"
"private-transportation-companies-vehicle-operating-data","Private Transportation Companies – Vehicle Operating Data",12,"2026-05-19T12:42:19.194675","notspecified"
"private-transportation-companies-summary-and-trip-data","Private Transportation Companies - Summary and Trip Data",18,"2026-05-19T12:42:04.736676","notspecified"
"bike-share-toronto-ridership-data","Bike Share Toronto Ridership Data",13,"2026-05-19T11:27:46.786627",NA
"short-term-rental-program-data","Short Term Rental Registration & Enforcement overview",4,"2026-05-19T02:04:36.650171","notspecified"
"real-estate-asset-inventory","Real Estate Asset Inventory",16,"2026-05-18T19:07:38.431139","notspecified"
"water-hydrants","Water Hydrants",8,"2026-05-18T15:26:44.317799","notspecified"
"water-fittings","Water Fittings",8,"2026-05-18T15:25:43.331781","notspecified"
"building-permits-signs","Building Permits - Signs",5,"2026-05-18T12:00:27.704356",NA
"building-permits-pool-enclosures","Building Permits - Pool Enclosures",5,"2026-05-18T12:00:19.440507","notspecified"
"building-permits-solar-hot-water-heaters","Building Permits - Solar Hot Water Heaters",5,"2026-05-18T12:00:15.439824",NA
"dogs-issued-dangerous-dog-orders","Registry of Dogs Subject to and Issued a Dangerous Dog Order",4,"2026-05-18T10:14:47.695167","notspecified"
"building-permits-green-roofs","Building Permits - Green Roofs",5,"2026-05-18T10:07:04.268346","notspecified"
"light-duty-city-vehicle-utilization-data","Light duty city vehicle utilization data",4,"2026-05-18T08:08:40.570903",NA
"traffic-and-parking-by-law-schedules","Traffic and Parking By-Law Schedules",4,"2026-05-18T02:27:53.983048","notspecified"
"residential-front-yard-parking","Residential Front Yard Parking",4,"2026-05-18T00:00:22.737708",NA
"toronto-shelter-system-flow","Toronto Shelter System Flow",4,"2026-05-15T20:04:30.137783","notspecified"
"central-intake-calls","Central Intake calls",8,"2026-05-15T18:19:31.975248","notspecified"
"sewer-pressurized-mains","Sewer Pressurized Mains",8,"2026-05-14T16:35:46.500426","notspecified"
